IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Degree of urbanization,PERCENT_POP_N
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2016,Total,87.22916
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2018,Total,89.70744
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2013,Total,83.32463
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2020,Total,92.09096
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2015,Total,85.9531
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2017,Total,88.48043
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2022,Total,93.20418
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2012,Total,81.97136
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2008,Urban,86.26218
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2007,Urban,86.26218
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2011,Urban,87.01079
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2006,Urban,86.26218
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2005,Urban,86.26218
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2010,Urban,86.76125
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2004,Urban,86.26218
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2009,Urban,86.51171
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2019,Urban,89.0071
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2014,Urban,87.75941
